Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,154.0,-99.0,0.0,top
J2,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,166.5,-99.365,0.0,top
J3,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,183.0,-99.0,0.0,top
J4,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,146.0,-108.365,0.0,top
R1,300,R_0201_0603Metric,167.655,-116.0,0.0,top
R10,"1,000",R_0201_0603Metric,183.655,-111.0,0.0,top
R11,300,R_0201_0603Metric,183.655,-116.0,0.0,top
R2,"1,000",R_0201_0603Metric,167.68,-112.0,0.0,top
R3,"10,000",R_0201_0603Metric,167.655,-108.0,0.0,top
R4,300,R_0201_0603Metric,151.68,-116.0,0.0,top
R5,"1,000",R_0201_0603Metric,151.655,-112.0,0.0,top
R6,"10,000",R_0201_0603Metric,151.655,-108.0,0.0,top
R9,"10,000",R_0201_0603Metric,183.655,-108.0,0.0,top
RV1,R_Potentiometer,Potentiometer_Bourns_3314J_Vertical,158.85,-106.0,90.0,top
RV2,R_Potentiometer,Potentiometer_Bourns_3314J_Vertical,175.15,-106.0,90.0,top
RV3,R_Potentiometer,Potentiometer_Bourns_3314J_Vertical,190.85,-105.0,90.0,top
U1,LM317_SOT-223,SOT-223-3_TabPin2,157.85,-116.0,0.0,top
U2,LM317_SOT-223,SOT-223-3_TabPin2,176.0,-116.0,0.0,top
U3,LM317_SOT-223,SOT-223-3_TabPin2,190.85,-116.0,0.0,top
